"","X","text","favoriteCount","created","id","retweetCount","subject","url","source","categories"
"1",1,"Boba Fett Wikipedia article edited anonymously from US House of Representatives https://t.co/BohaV7O9DS",1149,"2017-09-15 18:37:14",908761643982532608,637,"Boba Fett","https://t.co/BohaV7O9DS","US House of Representatives","Child characters in film"
"2",2,"Boba Fett Wikipedia article edited anonymously from US House of Representatives https://t.co/BohaV7O9DS",1149,"2017-09-15 18:37:14",908761643982532608,637,"Boba Fett","https://t.co/BohaV7O9DS","US House of Representatives","Extraterrestrial superheroes"
"3",3,"Boba Fett Wikipedia article edited anonymously from US House of Representatives https://t.co/BohaV7O9DS",1149,"2017-09-15 18:37:14",908761643982532608,637,"Boba Fett","https://t.co/BohaV7O9DS","US House of Representatives","Extraterrestrial supervillains"
"4",4,"Boba Fett Wikipedia article edited anonymously from US House of Representatives https://t.co/BohaV7O9DS",1149,"2017-09-15 18:37:14",908761643982532608,637,"Boba Fett","https://t.co/BohaV7O9DS","US House of Representatives","Fictional aviators"
"5",5,"Boba Fett Wikipedia article edited anonymously from US House of Representatives https://t.co/BohaV7O9DS",1149,"2017-09-15 18:37:14",908761643982532608,637,"Boba Fett","https://t.co/BohaV7O9DS","US House of Representatives","Fictional bodyguards"
"6",6,"Boba Fett Wikipedia article edited anonymously from US House of Representatives https://t.co/BohaV7O9DS",1149,"2017-09-15 18:37:14",908761643982532608,637,"Boba Fett","https://t.co/BohaV7O9DS","US House of Representatives","Fictional bounty hunters"
"7",7,"Boba Fett Wikipedia article edited anonymously from US House of Representatives https://t.co/BohaV7O9DS",1149,"2017-09-15 18:37:14",908761643982532608,637,"Boba Fett","https://t.co/BohaV7O9DS","US House of Representatives","Fictional characters introduced in 1978"
"8",8,"Boba Fett Wikipedia article edited anonymously from US House of Representatives https://t.co/BohaV7O9DS",1149,"2017-09-15 18:37:14",908761643982532608,637,"Boba Fett","https://t.co/BohaV7O9DS","US House of Representatives","Fictional clones"
"9",9,"Boba Fett Wikipedia article edited anonymously from US House of Representatives https://t.co/BohaV7O9DS",1149,"2017-09-15 18:37:14",908761643982532608,637,"Boba Fett","https://t.co/BohaV7O9DS","US House of Representatives","Fictional henchmen"
"10",10,"Boba Fett Wikipedia article edited anonymously from US House of Representatives https://t.co/BohaV7O9DS",1149,"2017-09-15 18:37:14",908761643982532608,637,"Boba Fett","https://t.co/BohaV7O9DS","US House of Representatives","Fictional marksmen and snipers"
